sex,row_number,liters_drunk,drink,check_number,label,age_adult,age_child,age_elderly,is_alcoholic,session_day,session_evening,session_morning
0,79,2.0,cola,3116,0,0,0,1,0,0,1,0
1,23,0.0,fanta,8118,0,0,1,0,0,1,0,0
0,52,5.0,beerbeer,7640,1,0,0,1,1,0,1,0
0,57,2.0,beerbeer,8764,0,1,0,0,1,1,0,0
1,15,1.0,bugbeer,6235,0,1,0,0,1,0,0,1
0,49,0.0,cola,185,1,0,1,0,0,0,0,1
1,33,5.0,fanta,2970,1,0,0,1,0,1,0,0
0,5,0.0,water,6494,0,1,0,0,0,1,0,0
0,78,2.47,water,3592,0,0,0,1,0,0,1,0
1,32,2.0,strong beer,2021,0,1,0,0,1,0,0,1
0,12,3.0,cola,5675,1,0,0,1,0,1,0,0
0,16,5.0,bugbeer,1637,0,0,0,1,1,1,0,0
0,46,2.47,strong beer,7830,1,1,0,0,1,1,0,0
0,4,3.0,cola,2174,1,1,0,0,0,0,1,0
0,40,3.0,water,8793,0,0,0,1,0,0,0,1
1,9,4.0,bugbeer,6079,1,1,0,0,1,0,1,0
0,95,1.0,strong beer,1634,1,0,0,1,1,0,1,0
1,70,2.47,fanta,7091,0,1,0,0,0,0,0,1
1,52,3.0,fanta,6992,1,1,0,0,0,0,1,0
0,44,4.0,strong beer,3258,1,1,0,0,1,0,0,1
0,6,5.0,water,6664,0,0,0,1,0,0,0,1
0,86,0.0,fanta,2104,1,0,0,1,0,0,1,0
1,40,4.0,water,1784,1,1,0,0,0,0,0,1
0,57,3.0,cola,2744,0,1,0,0,0,1,0,0
0,82,5.0,water,4306,1,0,1,0,0,0,1,0
1,67,0.0,fanta,2285,0,1,0,0,0,0,1,0
1,52,3.0,beerbeer,3395,0,1,0,0,1,1,0,0
0,33,2.0,fanta,8192,1,0,0,1,0,0,0,1
0,48,2.0,cola,4185,0,0,0,1,0,1,0,0
1,29,1.0,cola,2884,0,1,0,0,0,1,0,0
0,34,0.0,cola,2506,0,0,1,0,0,1,0,0
0,96,4.0,fanta,1639,1,0,0,1,0,0,0,1
0,50,4.0,fanta,8911,1,1,0,0,0,0,0,1
0,45,2.47,beerbeer,3519,1,0,0,1,1,0,0,1
1,42,5.0,beerbeer,1994,1,0,0,1,1,0,1,0
0,31,0.0,fanta,9976,0,0,0,1,0,1,0,0
0,35,5.0,strong beer,1230,1,0,0,1,1,1,0,0
0,95,2.0,water,85,0,1,0,0,0,0,0,1
0,53,5.0,fanta,5084,1,1,0,0,0,1,0,0
0,95,1.0,beerbeer,3003,1,0,0,1,1,1,0,0
0,90,2.47,bugbeer,2593,0,1,0,0,1,0,0,1
0,58,2.0,beerbeer,3953,0,0,0,1,1,0,1,0
0,33,4.0,strong beer,6224,1,1,0,0,1,0,1,0
0,13,5.0,fanta,8053,0,0,0,1,0,0,1,0
0,74,0.0,beerbeer,5697,1,0,0,1,1,0,0,1
0,64,2.0,fanta,3468,1,1,0,0,0,0,1,0
0,65,4.0,water,6361,0,0,1,0,0,0,1,0
0,55,1.0,fanta,6532,1,1,0,0,0,0,1,0
1,29,1.0,cola,8335,0,0,0,1,0,0,1,0
0,33,4.0,beerbeer,2025,1,1,0,0,1,0,1,0
0,39,5.0,fanta,3213,0,1,0,0,0,0,1,0
0,26,4.0,beerbeer,9127,1,1,0,0,1,0,1,0
0,77,5.0,fanta,7205,1,0,0,1,0,0,0,1
0,15,5.0,beerbeer,123,1,1,0,0,1,0,0,1
1,56,0.0,beerbeer,7045,1,1,0,0,1,0,0,1
1,48,2.0,fanta,6760,1,0,1,0,0,0,1,0
0,47,1.0,water,3086,0,0,1,0,0,0,1,0
0,71,4.0,bugbeer,4139,1,1,0,0,1,1,0,0
0,79,4.0,strong beer,5563,0,0,0,1,1,1,0,0
0,48,1.0,cola,1486,1,1,0,0,0,0,1,0
0,78,4.0,beerbeer,2855,1,1,0,0,1,0,0,1
0,67,1.0,cola,2676,1,1,0,0,0,0,1,0
0,13,4.0,cola,7858,1,0,0,1,0,1,0,0
0,89,1.0,cola,5555,0,1,0,0,0,0,1,0
0,39,5.0,fanta,4056,0,1,0,0,0,0,1,0
1,73,1.0,cola,2453,0,0,1,0,0,0,0,1
0,100,0.0,fanta,5624,1,1,0,0,0,0,1,0
0,14,3.0,strong beer,2121,0,0,0,1,1,0,0,1
0,4,4.0,bugbeer,2473,1,1,0,0,1,1,0,0
1,27,3.0,strong beer,5953,0,1,0,0,1,0,1,0
1,0,2.0,fanta,639,1,1,0,0,0,0,0,1
0,53,1.0,water,162,0,0,0,1,0,1,0,0
0,2,3.0,water,6112,1,1,0,0,0,0,0,1
1,35,4.0,bugbeer,3139,1,1,0,0,1,0,0,1
0,19,3.0,strong beer,4709,0,0,0,1,1,0,1,0
1,72,3.0,water,5808,1,0,1,0,0,0,1,0
0,79,0.0,strong beer,5989,0,0,0,1,1,0,0,1
0,30,1.0,strong beer,3260,1,1,0,0,1,0,1,0
0,88,3.0,fanta,9580,0,0,0,1,0,1,0,0
0,27,5.0,strong beer,3944,1,1,0,0,1,0,1,0
