API,PermitDate,SpudDate,CompletionDate,FirstProductionDate,operatorNameIHS,formation,BasinName,StateName,CountyName,LatWGS84,LonWGS84,BottomHoleLatitude,BottomHoleLongitude,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,Prod1Year,ProdAll,SpudMonth,SpudQuarter,SpudYear,PermitToSpudDays,DrillingDurationDays,CompletionToProductionDays,TotalProppant,TotalWater,ProppantIntensity,LateralDistance,LateralLengthCategory
5005072170100,2014-05-06,2014-05-06,2014-12-02,2014-11-01,BURLINGTON RESOURCES O&G CO LP,NIOBRARA,DENVER BASIN,COLORADO,ARAPAHOE,39.684605534,-104.64212775,39.68445,-104.60557,9005.0,994.6866,591.8004,126898,201325,5,2,2014,0,210,-31,8957152.833,5329162.602,0.11045936701832315,0.036558080856189105,long
5123377130000,2013-07-21,2013-10-06,2014-02-26,2014-02-01,SRC ENERGY INCORPORATED,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.50932,-104.78097998,40.49692,-104.77859,4195.0,991.5857,628.6321,22616,34625,10,4,2013,77,143,-25,4159702.0115,2637111.6595,0.23637323003575686,0.012628222535274165,short
5123379280000,2013-09-08,2013-09-25,2014-09-07,2013-11-01,BONANZA CREEK ENERGY OPERATING CO LLC,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.335389967,-104.363000032,40.3478,-104.36863,4273.0,1000.276,564.4841,47523,69009,9,3,2013,17,347,-310,4274179.348,2412040.5593,0.23409220688041188,0.013627379012197833,short
5123379400000,2013-09-11,2014-12-05,2015-03-31,2015-03-01,NOBLE ENERGY INCORPORATED,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.152219992,-104.530779987,40.17445,-104.52932,7078.0,973.4437,824.002,59474,81048,12,4,2014,450,116,-30,6890034.5086,5832286.1559999995,0.13753089855891495,0.0222778997600827,medium
5123385820100,2014-01-07,2014-01-13,2014-04-23,2014-04-01,GREAT WESTERN OPERATING COMPANY LLC,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.508302553,-104.868180166,40.49558,-104.86757,3211.0,783.5919,603.1414,14427,18050,1,1,2014,6,100,-22,2516113.5909,1936687.0354,0.2440336032388664,0.012737176193546557,short
5123390320000,2014-02-27,2014-06-20,2014-10-30,2014-10-01,NOBLE ENERGY INCORPORATED,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.52098891,-104.450861134,40.521,-104.46772,4259.0,1011.044,698.6819,24340,38365,6,2,2014,113,132,-29,4306036.396,2975686.2121,0.23738999765203098,0.016858869647585723,short
5123390440000,2014-02-28,2014-04-26,2014-08-16,2014-08-01,KERR-MCGEE OIL & GAS ONSHORE LP,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.11887197,-104.789372033,40.13079000000001,-104.78716,4518.0,469.8262,798.1676,72997,108032,4,2,2014,57,112,-15,2122674.7716,3606121.2168,0.10398986277113767,0.012121572879551557,medium
5123392690000,2014-04-14,2015-03-20,2015-08-03,2015-07-01,CRESTONE PEAK RESOURCES OPERATING LLC,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.147014996,-104.898341998,40.16105,-104.8934,4975.0,1267.887,835.9928,44543,77472,3,1,2015,340,136,-33,6307737.824999999,4159064.18,0.2548516582914573,0.014879673434322746,medium
5123399750000,2014-08-09,2014-11-14,2015-04-16,2015-04-01,KERR-MCGEE OIL & GAS ONSHORE LP,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.263372987,-104.72795502,40.27426,-104.73307,4786.0,805.9642,1133.333,21150,39758,11,4,2014,97,153,-15,3857344.6612,5424131.738000001,0.16840037609694944,0.012028718654229904,medium
5123402600000,2014-09-22,2015-06-16,2015-09-13,2015-09-01,EXTRACTION OIL & GAS LLC,CODELL,DENVER BASIN,COLORADO,WELD,40.353966997,-104.944679032,40.3544,-104.96173,4195.0,926.501,403.3223,55181,91774,6,2,2015,267,89,-12,3886671.695,1691937.0485,0.22085840286054825,0.01705646508908737,short
5123409020000,2014-12-23,2015-02-07,2015-09-07,2015-09-01,NOBLE ENERGY INCORPORATED,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.482361088000005,-104.468261084,40.48424,-104.45072,4240.0,697.0967,983.0599,33969,48796,2,1,2015,46,212,-6,2955690.0080000004,4168173.976,0.1644095990566038,0.017641426761994733,short
5123410480000,2015-01-21,2015-03-16,2015-04-23,2015-04-01,BONANZA CREEK ENERGY OPERATING CO LLC,NIOBRARA,DENVER BASIN,COLORADO,WELD,40.433138983,-104.298584963,40.4346,-104.28176,4294.0,896.9146,604.3947,30361,40916,3,1,2015,54,38,-22,3851351.2923999997,2595270.8417999996,0.20887624592454587,0.016888278497980577,short
30015414470000,2013-06-07,2013-10-06,2014-01-07,2013-12-01,OXY USA INC,BONE SPRING,PERMIAN BASIN,NEW MEXICO,EDDY,32.312442695,-104.030510988,32.31051,-104.01594,3790.0,648.1232,477.6181,42353,70044,10,4,2013,121,93,-37,2456386.928,1810172.5990000002,0.1710087598944591,0.014698605418856906,short
30025425390000,2015-04-30,2015-06-17,2015-10-10,2015-08-01,EOG RESOURCES INCORPORATED,WOLFCAMP UPPER,PERMIAN BASIN,NEW MEXICO,LEA,32.080410207,-103.530040419,32.09347,-103.52959,4583.0,1657.98,1625.025,175992,281523,6,2,2015,48,115,-70,7598522.34,7447489.575,0.3617674012655466,0.013067557938593844,medium
33023010960000,2013-08-22,2014-01-19,2014-04-07,2014-03-01,PETRO-HUNT LLC,THREE FORKS,WILLISTON BASIN,NORTH DAKOTA,DIVIDE,48.893759285,-103.647073839,48.86601,-103.64545,10055.0,247.5587,193.1525,66098,114677,1,1,2014,150,78,-37,2489202.7284999997,1942148.3875,0.024620457483838884,0.02779675648540831,long
33025026780000,2014-09-30,2015-05-04,2015-09-23,2015-08-01,CONTINENTAL RESOURCES INCORPORATED,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,DUNN,47.45719928800001,-102.876301421,47.48709,-102.87709,10225.0,326.3353,763.9421,140340,246346,5,2,2015,216,142,-53,3336778.4425000004,7811307.9725,0.03191543276283619,0.02990111236568911,long
33053048870100,2013-03-21,2014-08-06,2014-11-05,2014-11-01,OASIS PETROLEUM NORTH AMERICA LLC,BAKKEN,WILLISTON BASIN,NORTH DAKOTA,MCKENZIE,47.995019439,-103.56130555,47.9947,-103.52035,9400.0,984.4741,559.1107,134023,192598,8,3,2014,503,91,-4,9254056.540000001,5255640.579999999,0.10473128723404256,0.040956795737432494,long
